"last_name, first_name","player_id","year","ab","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","on_base_percent","on_base_plus_slg","b_rbi"
"Mancini III, Trey",641820,2017,543,159,105,26,4,24,23.7,5.6,".293",".338","0.826","78"
"LeMahieu, DJ",518934,2017,609,189,149,28,4,8,13.2,8.7,".310",".374","0.783","64"
"Trumbo, Mark",444432,2017,559,131,86,22,0,23,24.7,7,".234",".289","0.686","65"
"Shaw, Travis",543768,2017,538,147,81,34,1,31,22.8,9.9,".273",".349","0.862","101"
"Santana, Carlos",467793,2017,571,148,85,37,3,23,14.1,13.2,".259",".363","0.818","79"
"Gamel, Ben",592325,2017,509,140,97,27,5,11,22.2,6.5,".275",".322","0.735","59"
"Gregorius, Didi",544369,2017,534,153,101,27,0,25,12.3,4.4,".287",".318","0.796","87"
"Phillips, Brandon",408252,2017,572,163,115,34,1,13,12.1,3.5,".285",".319","0.735","60"
"Mazara, Nomar",608577,2017,554,140,88,30,2,20,20.6,8.9,".253",".323","0.745","101"
"Pence, Hunter",452254,2017,493,128,97,13,5,13,18.9,7.4,".260",".315","0.700","67"
"Molina, Yadier",425877,2017,501,137,91,27,1,18,13.6,5.2,".273",".312","0.751","82"
"Altuve, Jose",514888,2017,590,204,137,39,4,24,12.7,8.8,".346",".410","0.957","81"
"Pillar, Kevin",607680,2017,587,150,96,37,1,16,15,5.2,".256",".300","0.704","42"
"Cabrera, Miguel",408234,2017,469,117,79,22,0,16,20.8,10.2,".249",".329","0.728","60"
"Báez, Javier",595879,2017,469,128,79,24,2,23,28.3,5.9,".273",".317","0.797","75"
"Canó, Robinson",429664,2017,592,166,110,33,0,23,13.1,7.6,".280",".338","0.791","97"
"Turner, Justin",457759,2017,457,147,94,32,0,21,10.3,10.9,".322",".415","0.945","71"
"Margot, Manuel",622534,2017,487,128,90,18,7,13,20,6.6,".263",".313","0.722","39"
"Harrison, Josh",543281,2017,486,132,88,26,2,16,16.6,5.2,".272",".339","0.771","47"
"Gurriel Jr., Yuli",493329,2017,529,158,96,43,1,18,11,3.9,".299",".332","0.818","75"
"Suárez, Eugenio",553993,2017,534,139,86,25,2,26,23.3,13.3,".260",".367","0.828","82"
"Cabrera, Asdrúbal",452678,2017,479,134,88,32,0,14,15.4,9.3,".280",".351","0.785","59"
"Solarte, Yangervis",500208,2017,466,119,80,21,0,18,11.9,7.2,".255",".314","0.730","64"
"Bradley Jr., Jackie",598265,2017,482,118,79,19,3,17,22.9,8.9,".245",".323","0.725","63"
"Swanson, Dansby",621020,2017,488,113,82,23,2,6,21.8,10.7,".232",".312","0.636","51"
"Morales, Kendrys",434778,2017,557,139,86,25,0,28,21.7,7.1,".250",".308","0.753","85"
"Castellanos, Nick",592206,2017,614,167,95,36,10,26,21.4,6.2,".272",".320","0.810","101"
"Yelich, Christian",592885,2017,602,170,114,36,2,18,19.7,11.5,".282",".369","0.808","81"
"Franco, Maikel",596748,2017,575,132,78,29,1,24,15.2,6.6,".230",".281","0.690","76"
