"last_name, first_name","player_id","year","ab","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","on_base_percent","on_base_plus_slg","b_rbi"
"Merrifield, Whit",593160,2019,681,206,139,41,10,16,17.1,6.1,".302",".348","0.811","74"
"Kepler, Max",596146,2019,524,132,64,32,0,36,16.6,10.1,".252",".336","0.855","90"
"Reyes, Franmil",614177,2019,494,123,67,19,0,37,28.5,8.6,".249",".310","0.822","81"
"Choo, Shin-Soo",425783,2019,563,149,92,31,2,24,25,11.8,".265",".371","0.826","61"
"Cabrera, Asdrúbal",452678,2019,447,116,72,25,1,18,20,11.1,".260",".342","0.783","91"
"Profar, Jurickson",595777,2019,459,100,54,24,2,20,14.5,9.3,".218",".301","0.711","67"
"LeMahieu, DJ",518934,2019,602,197,136,33,2,26,13.7,7,".327",".375","0.893","102"
"Suárez, Eugenio",553993,2019,575,156,83,22,2,49,28.5,10.6,".271",".358","0.930","103"
"Reynolds, Bryan",668804,2019,491,154,97,37,4,16,22.2,8.4,".314",".377","0.880","68"
"Voit III, Luke",572228,2019,429,113,70,21,1,21,27.8,13.9,".263",".378","0.842","62"
"Iglesias, Jose",578428,2019,504,145,110,21,3,11,13.2,3.8,".288",".318","0.725","59"
"Bryant, Kris",592178,2019,543,153,86,35,1,31,22.9,11.7,".282",".382","0.903","77"
"Galvis, Freddy",520471,2019,557,145,93,28,1,23,24.6,4.8,".260",".296","0.734","70"
"Hosmer, Eric",543333,2019,619,164,111,29,2,22,24.4,6,".265",".310","0.735","99"
"Springer III, George",543807,2019,479,140,78,20,3,39,20.3,12.1,".292",".383","0.974","96"
"Gardner, Brett",458731,2019,491,123,62,26,7,28,19.6,9.5,".251",".325","0.828","74"
"Ramos, Wilson",467092,2019,473,136,103,19,0,14,13.2,8.4,".288",".351","0.767","73"
"Arcia, Orlando",606115,2019,494,110,78,16,1,15,20,7.9,".223",".283","0.633","59"
"Moran, Colin",592567,2019,466,129,85,30,1,13,23.3,6,".277",".322","0.751","80"
"Adames, Willy",642715,2019,531,135,89,25,1,20,26.2,7.9,".254",".317","0.735","52"
"Escobar, Eduardo",500871,2019,636,171,97,29,10,35,18.6,7.2,".269",".320","0.831","118"
"Davis, Khris",501981,2019,481,106,72,11,0,23,27.4,8.8,".220",".293","0.680","73"
"Wong, Kolten",543939,2019,478,136,96,25,4,11,15.1,8.6,".285",".361","0.784","59"
"Marte, Ketel",606466,2019,569,187,110,36,9,32,13.7,8.4,".329",".389","0.981","92"
"Yelich, Christian",592885,2019,489,161,85,29,3,44,20.3,13.8,".329",".429","1.100","97"
"Pujols, Albert",405395,2019,491,120,75,22,0,23,12.5,7.9,".244",".305","0.735","93"
"Pham, Tommy",502054,2019,567,155,99,33,2,21,18.8,12.4,".273",".369","0.819","68"
"Marte, Starling",516782,2019,539,159,99,31,6,23,16,4.3,".295",".342","0.845","82"
"McNeil, Jeff",643446,2019,510,162,100,38,1,23,13.2,6.2,".318",".384","0.915","75"
"Chapman, Matt",656305,2019,583,145,70,36,3,36,21.9,10.9,".249",".342","0.848","91"
"Cruz Jr., Nelson",443558,2019,454,141,74,26,0,41,25.1,10.7,".311",".392","1.031","108"
"Gurriel Jr., Yuli",493329,2019,564,168,95,40,2,31,10.6,6,".298",".343","0.884","104"
"Heyward, Jason",518792,2019,513,129,84,20,4,21,18.7,11.5,".251",".343","0.772","62"
"Torres, Gleyber",650402,2019,546,152,88,26,0,38,21.4,7.9,".278",".337","0.872","90"
"Rosario, Amed",642708,2019,616,177,125,30,7,15,18.9,4.7,".287",".323","0.755","72"
"Harper, Bryce",547180,2019,573,149,77,36,1,35,26.1,14.5,".260",".372","0.882","114"
"Rizzo, Anthony",519203,2019,512,150,91,29,3,27,14,11.6,".293",".405","0.925","94"
"Santana, Domingo",570267,2019,451,114,72,20,1,21,32.3,9.9,".253",".329","0.770","69"
"Soto, Juan",665742,2019,542,153,82,32,5,34,20,16.4,".282",".401","0.949","110"
"Schwarber, Kyle",656941,2019,529,132,62,29,3,38,25.6,11.5,".250",".339","0.870","92"
"Turner, Trea",607208,2019,521,155,94,37,5,19,19.9,7.6,".298",".353","0.850","57"
"Puig, Yasiel",624577,2019,555,148,92,30,2,24,21.8,7.2,".267",".327","0.785","84"
"Newman, Kevin",621028,2019,493,152,114,20,6,12,11.7,5.3,".308",".353","0.799","64"
"Guerrero Jr., Vladimir",665489,2019,464,126,83,26,2,15,17.7,8.9,".272",".339","0.772","69"
"Villar, Jonathan",542340,2019,642,176,114,33,5,24,24.6,8.5,".274",".339","0.792","73"
"Meadows, Austin",640457,2019,530,154,85,29,7,33,22.2,9.1,".291",".364","0.922","89"
"Moustakas, Mike",519058,2019,523,133,67,30,1,35,16.8,9.1,".254",".329","0.845","87"
"Lindor, Francisco",596019,2019,598,170,96,40,2,32,15,7,".284",".335","0.853","74"
"Polanco, Jorge",593871,2019,631,186,117,40,7,22,16.5,8.5,".295",".356","0.841","79"
"Pederson, Joc",592626,2019,450,112,57,16,3,36,21.6,9.7,".249",".339","0.877","74"
"Realmuto, J.T.",592663,2019,538,148,84,36,3,25,20.7,6.9,".275",".328","0.821","83"
"Machado, Manny",592518,2019,587,150,95,21,2,32,19.4,9.8,".256",".334","0.796","85"
"Vázquez, Christian",543877,2019,482,133,83,26,1,23,19.4,6.3,".276",".320","0.797","72"
"Abreu, José",547989,2019,634,180,108,38,1,33,21.9,5.2,".284",".330","0.833","123"
"Castellanos, Nick",592206,2019,615,178,90,58,3,27,21.5,6.2,".289",".337","0.862","73"
"Dozier, Hunter",641531,2019,523,146,81,29,10,26,25.3,9.4,".279",".348","0.870","84"
"Goldschmidt, Paul",502671,2019,597,155,95,25,1,34,24.3,11.4,".260",".346","0.822","97"
"Andrus, Elvis",462101,2019,600,165,122,27,4,12,14.8,5.2,".275",".313","0.706","72"
"Betts, Mookie",605141,2019,597,176,102,40,5,29,14.3,13.7,".295",".391","0.915","80"
"Bogaerts, Xander",593428,2019,614,190,105,52,0,33,17.5,10.9,".309",".384","0.939","117"
"Benintendi, Andrew",643217,2019,541,144,86,40,5,13,22.8,9.6,".266",".343","0.774","68"
"Grandal, Yasmani",518735,2019,513,126,70,26,2,28,22,17.2,".246",".380","0.848","77"
"Moncada, Yoán",660162,2019,511,161,97,34,5,25,27.5,7.2,".315",".367","0.915","79"
"Conforto, Michael",624424,2019,549,141,78,29,1,33,23,13,".257",".363","0.857","92"
"Belt, Brandon",474832,2019,526,123,71,32,3,17,20.6,13.5,".234",".339","0.742","57"
"Blackmon, Charlie",453568,2019,580,182,101,42,7,32,16.4,6.3,".314",".364","0.940","86"
"Brantley Jr., Michael",488726,2019,575,179,115,40,2,22,10.4,8,".311",".372","0.875","90"
"Semien, Marcus",543760,2019,657,187,104,43,7,33,13.7,11.6,".285",".369","0.891","92"
"Votto, Joey",458015,2019,525,137,89,32,1,15,20.2,12.5,".261",".357","0.768","47"
"Ozuna, Marcell",542303,2019,485,117,64,23,1,29,20.8,11.3,".241",".328","0.800","89"
"Rosario, Eddie",592696,2019,562,155,94,28,1,32,14.6,3.7,".276",".300","0.800","109"
"Kipnis, Jason",543401,2019,458,112,71,23,1,17,17.2,7.8,".245",".304","0.714","65"
"Reddick, Josh",502210,2019,501,138,102,19,3,14,12,6.5,".275",".319","0.728","56"
"Garcia, Leury",544725,2019,577,161,123,27,3,8,22.5,3.4,".279",".310","0.688","40"
"Jones, Adam",430945,2019,485,126,84,25,1,16,19.1,5.9,".260",".313","0.727","67"
"Calhoun, Kole",594777,2019,552,128,65,29,1,33,25.6,11.1,".232",".325","0.792","74"
"Braun, Ryan",460075,2019,459,131,76,31,2,22,20.7,6.7,".285",".343","0.848","75"
"Muncy, Max",571970,2019,487,122,64,22,1,35,25.3,15.3,".251",".374","0.889","98"
"Bregman, Alex",608324,2019,554,164,84,37,2,41,12,17.2,".296",".423","1.015","112"
"Odor, Rougned",596059,2019,522,107,46,30,1,30,30.6,9,".205",".283","0.722","93"
"Anderson, Brian",605119,2019,459,120,66,33,1,20,21.9,8.5,".261",".342","0.810","66"
"Báez, Javier",595879,2019,531,149,78,38,4,29,27.8,5,".281",".316","0.847","85"
"Bradley Jr., Jackie",598265,2019,494,111,59,28,3,21,27.3,9.9,".225",".317","0.738","62"
"Alonso, Pete",624413,2019,597,155,70,30,2,53,26.4,10.4,".260",".358","0.941","120"
"Cain, Lorenzo",456715,2019,562,146,105,30,0,11,17,8,".260",".325","0.697","48"
"McMahon, Ryan",641857,2019,480,120,73,22,1,24,29.7,10.4,".250",".329","0.779","83"
"Gordon, Alex",460086,2019,556,148,103,31,1,13,15.8,8.1,".266",".345","0.741","76"
"Bell, Josh",605137,2019,527,146,69,37,3,37,19.2,12.1,".277",".367","0.936","116"
"Trout, Mike",545361,2019,470,137,63,27,2,45,20,18.3,".291",".438","1.083","104"
"Donaldson, Josh",518626,2019,549,142,72,33,0,37,23.5,15.2,".259",".379","0.900","94"
"Anderson, Tim",641313,2019,498,167,117,32,0,18,21,2.9,".335",".357","0.865","56"
"Frazier, Adam",624428,2019,554,154,104,33,7,10,12.3,6.6,".278",".336","0.753","50"
"Cabrera, Miguel",408234,2019,493,139,106,21,0,12,19.7,8.7,".282",".346","0.744","59"
"Fowler, Dexter",451594,2019,487,116,72,24,1,19,24.7,12.9,".238",".346","0.755","67"
"Rojas, Miguel",500743,2019,483,137,102,29,1,5,11.8,6.1,".284",".331","0.710","46"
"Alberto, Hanser",593643,2019,524,160,125,21,2,12,9.1,2.9,".305",".329","0.751","51"
"Santana, Danny",542454,2019,474,134,77,23,6,28,29.5,4.9,".283",".324","0.858","81"
"DeJong, Paul",657557,2019,583,136,74,31,1,30,22.4,9.3,".233",".318","0.762","78"
"Turner, Justin",457759,2019,479,139,88,24,0,27,16,9.3,".290",".372","0.881","67"
"Devers, Rafael",646240,2019,647,201,111,54,4,32,17,6.8,".311",".361","0.916","115"
"García, Avisaíl",541645,2019,489,138,91,25,2,20,23.6,5.8,".282",".332","0.796","72"
"Smith, Mallex",605480,2019,510,116,82,19,9,6,24.9,7.4,".227",".300","0.635","37"
"Mancini III, Trey",641820,2019,602,175,100,38,2,35,21.1,9.3,".291",".364","0.899","97"
"Rendon, Anthony",543685,2019,545,174,93,44,3,34,13.3,12.4,".319",".412","1.010","126"
"Ramírez, José",608070,2019,482,123,64,33,3,23,13.7,9.6,".255",".327","0.806","83"
"Eaton, Adam",594809,2019,566,158,111,25,7,15,16.2,9.9,".279",".365","0.793","49"
"Soler, Jorge",624585,2019,589,156,74,33,1,48,26.2,10.8,".265",".354","0.923","117"
"Pillar, Kevin",607680,2019,611,158,97,37,3,21,13.8,2.8,".259",".287","0.719","88"
"Fletcher, David",664058,2019,596,173,133,30,4,6,9.8,8.4,".290",".350","0.734","49"
"Freeman, Freddie",518692,2019,597,176,102,34,2,38,18.4,12.6,".295",".389","0.938","121"
"Grichuk, Randal",545341,2019,586,136,71,29,5,31,26,5.6,".232",".280","0.737","80"
"Castro, Starlin",516770,2019,636,172,115,31,4,22,16.4,4.1,".270",".300","0.736","86"
"Segura, Jean",516416,2019,576,161,108,37,4,12,11.8,4.9,".280",".323","0.743","60"
"Hernández, César",514917,2019,612,171,123,31,3,14,15,6.7,".279",".333","0.741","71"
"Swanson, Dansby",621020,2019,483,121,75,26,3,17,22.8,9.4,".251",".325","0.747","65"
"Altuve, Jose",514888,2019,500,149,88,27,3,31,15,7.5,".298",".353","0.903","74"
"Ahmed, Nick",605113,2019,556,141,83,33,6,19,18.1,8.3,".254",".316","0.753","82"
"Acuña Jr., Ronald",660670,2019,626,175,110,22,2,41,26.3,10.6,".280",".365","0.883","101"
"Sánchez, Yolmer",570560,2019,496,125,99,20,4,2,21.1,7.9,".252",".318","0.639","43"
"Walker, Christian",572233,2019,529,137,81,26,1,29,25.7,11.1,".259",".348","0.824","73"
"Santana, Carlos",467793,2019,573,161,96,30,1,34,15.7,15.7,".281",".397","0.912","93"
"Crawford, Brandon",543063,2019,500,114,77,24,2,11,20.9,9.5,".228",".304","0.654","59"
"Vogelbach, Daniel",596129,2019,462,96,49,17,0,30,26.7,16.5,".208",".341","0.780","76"
"Story, Trevor",596115,2019,588,173,95,38,5,35,26.5,8.8,".294",".363","0.917","85"
"Albies, Ozzie",645277,2019,640,189,114,43,8,24,16,7.7,".295",".352","0.852","86"
"Jiménez, Eloy",650391,2019,468,125,74,18,2,31,26.6,6,".267",".315","0.828","79"
"Arenado, Nolan",571448,2019,588,185,111,31,2,41,14,9.4,".315",".379","0.962","118"
"Hoskins, Rhys",656555,2019,570,129,62,33,5,29,24.5,16.5,".226",".364","0.818","85"
"Robles, Victor",645302,2019,546,139,86,33,3,17,22.7,5.7,".255",".326","0.745","65"
"Longoria, Evan",446334,2019,453,115,74,19,2,20,22,8.5,".254",".325","0.762","69"
"Martinez, J.D.",502110,2019,575,175,104,33,2,36,21,11,".304",".383","0.940","105"
"Seager, Corey",608369,2019,489,133,69,44,1,19,18.1,8.1,".272",".335","0.818","87"
"Olson, Matt",621566,2019,483,129,67,26,0,36,25.2,9.3,".267",".351","0.896","91"
"Bellinger, Cody",641355,2019,558,170,86,34,3,47,16.3,14.4,".305",".406","1.035","115"
"Núñez, Renato",600524,2019,541,132,77,24,0,31,23.9,7.3,".244",".311","0.771","90"
