"last_name, first_name","player_id","year","ab","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","on_base_percent","on_base_plus_slg","b_rbi"
"Longoria, Evan",446334,2015,604,163,106,35,1,21,19.7,7.6,".270",".328","0.763","73"
"Giavotella, Johnny",543213,2015,453,123,89,25,5,4,11.8,6.4,".272",".318","0.693","49"
"García, Avisaíl",541645,2015,553,142,110,17,2,13,23.5,6,".257",".309","0.674","59"
"Solarte, Yangervis",500208,2015,526,142,91,33,4,14,9.8,6,".270",".320","0.748","63"
"Pillar, Kevin",607680,2015,586,163,118,31,2,12,13.5,4.5,".278",".314","0.713","56"
"Duffy, Matt",622110,2015,573,169,123,28,6,12,15.7,4.9,".295",".334","0.762","77"
"Desmond, Ian",435622,2015,583,136,88,27,2,19,29.2,7,".233",".290","0.674","62"
"McCann, Brian",435263,2015,465,108,66,15,1,26,18.1,9.7,".232",".320","0.757","94"
"Hunter, Torii",116338,2015,521,125,81,22,0,22,18.5,6.2,".240",".293","0.702","81"
"Norris, Derek",519083,2015,515,129,80,33,2,14,23.5,6.3,".250",".305","0.709","62"
"Jackson, Austin",457706,2015,491,131,94,25,3,9,23.9,5.5,".267",".311","0.696","48"
"Cruz Jr., Nelson",443558,2015,590,178,111,22,1,44,25,9,".302",".369","0.935","93"
"Belt, Brandon",474832,2015,492,138,82,33,5,18,26.4,10.1,".280",".356","0.834","68"
"Trumbo, Mark",444432,2015,508,133,85,23,3,22,24.2,6.6,".262",".310","0.759","64"
"Donaldson, Josh",518626,2015,620,184,100,41,2,41,18.7,10.3,".297",".371","0.939","123"
"Gose, Anthony",543238,2015,485,123,86,24,8,5,27.1,8.4,".254",".321","0.688","26"
"González, Carlos",471865,2015,554,150,83,25,2,40,21.9,7.6,".271",".325","0.865","97"
"Vogt, Stephen",519390,2015,445,116,74,21,3,18,19,11,".261",".341","0.784","71"
"Burns, Billy",542993,2015,520,153,121,18,9,5,14.6,4.7,".294",".334","0.726","42"
"Markakis, Nick",455976,2015,612,181,139,38,1,3,12.1,10.2,".296",".370","0.746","53"
"Murphy, Daniel",502517,2015,499,140,86,38,2,14,7.1,5.8,".281",".322","0.771","73"
"Polanco, Gregory",570256,2015,593,152,102,35,6,9,18.6,8.4,".256",".320","0.701","52"
"Cespedes, Yoenis",493316,2015,633,184,101,42,6,35,20.9,4.9,".291",".328","0.870","105"
"Beltrán, Carlos",136860,2015,478,132,78,34,1,19,16,8.5,".276",".337","0.808","67"
"Altuve, Jose",514888,2015,638,200,141,40,4,15,9.7,4.8,".313",".353","0.812","66"
"Martin, Russell",431145,2015,441,106,58,23,2,23,20.9,10.5,".240",".329","0.787","77"
"Byrd, Marlon",407781,2015,506,125,72,25,5,23,26.7,5.3,".247",".290","0.743","73"
"Perez, Salvador",521692,2015,531,138,92,25,0,21,14.8,2.4,".260",".280","0.706","70"
"Granderson, Curtis",434158,2015,580,150,89,33,2,26,22.1,13.3,".259",".364","0.821","70"
"Bruce, Jay",457803,2015,580,131,66,35,4,26,22.3,8.9,".226",".294","0.728","87"
"Cabrera, Miguel",408234,2015,429,145,98,28,1,18,16,15.1,".338",".440","0.974","76"
"Plouffe, Trevor",461858,2015,573,140,79,35,4,22,19.6,7.9,".244",".307","0.742","86"
