"last_name, first_name","player_id","year","ab","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","on_base_percent","on_base_plus_slg","b_rbi"
"Rizzo, Anthony",519203,2015,586,163,91,38,3,31,15,11.1,".278",".387","0.899","101"
"Peralta, Jhonny",425509,2015,579,159,115,26,1,17,17.3,7.8,".275",".334","0.745","71"
"Kiermaier, Kevin",595281,2015,505,133,86,25,12,10,17.8,4.5,".263",".298","0.718","40"
"Moss, Brandon",461235,2015,469,106,61,24,2,19,28.1,9.3,".226",".304","0.711","58"
"Fowler, Dexter",451594,2015,596,149,95,29,8,17,22.3,12.2,".250",".346","0.757","46"
"Brantley Jr., Michael",488726,2015,529,164,104,45,0,15,8.6,10.1,".310",".379","0.859","84"
"Encarnación, Edwin",429665,2015,528,146,76,31,0,39,15.7,12.3,".277",".372","0.929","111"
"Bautista, José",430832,2015,543,136,64,29,3,40,15.9,16.5,".250",".377","0.913","114"
"Aybar, Erick",430947,2015,597,161,127,30,1,3,11.4,3.9,".270",".301","0.639","44"
"Andrus, Elvis",462101,2015,596,154,111,34,2,7,11.8,7,".258",".309","0.666","62"
"Jones, Adam",430945,2015,546,147,92,25,3,27,17.6,4.1,".269",".308","0.782","82"
"Cabrera, Melky",466320,2015,629,172,122,36,2,12,12.9,5.9,".273",".314","0.708","77"
"Votto, Joey",458015,2015,545,171,107,33,2,29,19.4,20.6,".314",".459","1.000","80"
"Heyward, Jason",518792,2015,547,160,110,33,4,13,14.8,9.2,".293",".359","0.798","60"
"Pederson, Joc",592626,2015,480,101,55,19,1,26,29.1,15.7,".210",".346","0.763","54"
"Owings, Chris",572008,2015,515,117,81,27,5,4,26.1,4.7,".227",".264","0.586","43"
"Rollins, Jimmy",276519,2015,517,116,76,24,3,13,15.3,7.8,".224",".285","0.643","41"
"Lind, Adam",452252,2015,502,139,87,32,0,20,17.5,11.5,".277",".360","0.820","87"
"Strange-Gordon, Dee",543829,2015,615,205,169,24,8,4,13.9,3.8,".333",".359","0.777","46"
"Semien, Marcus",543760,2015,556,143,98,23,7,15,22,7,".257",".310","0.715","45"
"Holt, Brock",571788,2015,454,127,92,27,6,2,19.1,9,".280",".349","0.728","45"
"Molina, Yadier",425877,2015,488,132,103,23,2,4,11.1,6,".270",".310","0.660","61"
"Betts, Mookie",605141,2015,597,174,106,42,8,18,12.5,7,".291",".341","0.820","77"
"Duda, Lucas",446263,2015,471,115,55,33,0,27,24.9,11.9,".244",".352","0.838","73"
"Howard, Ryan",429667,2015,467,107,54,29,1,23,27.5,5.4,".229",".277","0.720","77"
"Zobrist, Ben",450314,2015,467,129,77,36,3,13,10.5,11.6,".276",".359","0.809","56"
"Ramirez, Alexei",493351,2015,583,145,102,33,0,10,10.9,5,".249",".285","0.642","62"
"Cervelli, Francisco",465041,2015,451,133,104,17,5,7,18.4,9,".295",".370","0.771","43"
"Marte, Starling",516782,2015,579,166,115,30,2,19,19.4,4.3,".287",".337","0.781","81"
"Bogaerts, Xander",593428,2015,613,196,151,35,3,7,15.4,4.9,".320",".355","0.776","81"
"Blackmon, Charlie",453568,2015,614,176,119,31,9,17,16.4,6.7,".287",".347","0.797","58"
"Reddick, Josh",502210,2015,526,143,94,25,4,20,11.2,8.5,".272",".333","0.782","77"
"Arenado, Nolan",571448,2015,616,177,88,43,4,42,16.5,5.1,".287",".323","0.898","130"
"Bryant, Kris",592178,2015,559,154,92,31,5,26,30.6,11.8,".275",".369","0.857","99"
"Maybin, Cameron",457727,2015,505,135,105,18,2,10,18.4,8.1,".267",".327","0.697","59"
"Mauer, Joe",408045,2015,592,157,111,34,2,10,16.8,10.1,".265",".338","0.718","66"
"Choo, Shin-Soo",425783,2015,555,153,96,32,3,22,22.5,11.6,".276",".375","0.838","82"
"Rodriguez, Alex",121347,2015,523,131,75,22,1,33,23.4,13.5,".250",".356","0.842","86"
"Peralta, David",444482,2015,462,144,91,26,10,17,20.7,8.5,".312",".371","0.893","78"
"Prado, Martín",445988,2015,500,144,111,22,2,9,12.3,6.7,".288",".338","0.732","63"
"Herrera, Odúbel",546318,2015,495,147,106,30,3,8,24,5.2,".297",".344","0.762","41"
"LeMahieu, DJ",518934,2015,564,170,138,21,5,6,17.3,8.1,".301",".358","0.746","61"
"Abreu, José",547989,2015,613,178,111,34,3,30,21,5.8,".290",".347","0.849","101"
"Pagán, Ángel",434636,2015,512,134,107,21,3,3,16.9,5.8,".262",".303","0.635","37"
"Braun, Ryan",460075,2015,506,144,89,27,3,25,20.3,9.5,".285",".356","0.854","84"
"Ramos, Wilson",467092,2015,475,109,78,16,0,15,20,4.2,".229",".258","0.616","68"
"Ramirez, Aramis",133380,2015,475,117,68,31,1,17,13.2,6,".246",".297","0.720","75"
"Gardner, Brett",458731,2015,571,148,103,26,3,16,20.6,10.4,".259",".343","0.742","66"
"Peterson, Jace",607054,2015,528,126,92,23,5,6,20.1,9.4,".239",".314","0.649","52"
"Russell, Addison",608365,2015,475,115,72,29,1,13,28.5,8,".242",".307","0.696","54"
"Lawrie, Brett",543434,2015,562,146,98,29,3,16,23.9,4.7,".260",".299","0.706","60"
"Beltré, Adrian",134181,2015,567,163,109,32,4,18,10.5,6.6,".287",".334","0.787","83"
"Tulowitzki, Troy",453064,2015,486,136,92,27,0,17,21.3,7.1,".280",".337","0.777","70"
"Trout, Mike",545361,2015,575,172,93,32,6,41,23.2,13.5,".299",".402","0.992","90"
"Harper, Bryce",547180,2015,521,172,91,38,1,42,20,19,".330",".460","1.109","99"
"Martinez, J.D.",502110,2015,596,168,95,33,2,38,27.1,8.1,".282",".344","0.879","102"
"Moreland, Mitch",519048,2015,471,131,81,27,0,23,21.7,6.2,".278",".330","0.812","85"
"Butler, Billy",456714,2015,538,135,91,28,1,15,16.8,8.7,".251",".323","0.713","65"
"Castellanos, Nick",592206,2015,549,140,86,33,6,15,25.5,6.6,".255",".303","0.722","73"
"Pujols, Albert",405395,2015,602,147,85,22,0,40,10.9,7.6,".244",".307","0.787","95"
"Kipnis, Jason",543401,2015,565,171,112,43,7,9,16.7,8.9,".303",".372","0.823","52"
"Galvis, Freddy",520471,2015,559,147,121,14,5,7,17.1,5,".263",".302","0.645","50"
"Seager, Kyle",572122,2015,623,166,103,37,0,26,14.3,7.9,".266",".328","0.779","74"
"Escobar, Alcides",444876,2015,612,157,129,20,5,3,11.3,3.9,".257",".293","0.613","47"
"Carpenter, Matt",572761,2015,574,156,81,44,3,28,22.7,12.2,".272",".365","0.870","84"
"McCutchen, Andrew",457705,2015,566,165,103,36,3,23,19.4,14.3,".292",".401","0.889","96"
"Escobar, Yunel",488862,2015,535,168,133,25,1,9,11.8,7.6,".314",".375","0.790","56"
"Forsythe, Logan",523253,2015,540,152,100,33,2,17,18,8.9,".281",".359","0.803","68"
"Reyes, José",408314,2015,481,132,98,25,2,7,11.9,5,".274",".310","0.688","53"
"Kemp, Matt",461314,2015,596,158,101,31,3,23,22.7,6,".265",".312","0.755","100"
"Revere, Ben",519184,2015,592,181,150,22,7,2,10.1,5,".306",".342","0.719","45"
"Hosmer, Eric",543333,2015,599,178,122,33,5,18,16.2,9.1,".297",".363","0.822","93"
"Gregorius, Didi",544369,2015,525,139,104,24,2,9,14.7,5.7,".265",".318","0.688","56"
"Cabrera, Asdrúbal",452678,2015,505,134,86,28,5,15,19.4,6.5,".265",".315","0.745","58"
"Ortiz, David",120074,2015,528,144,70,37,0,37,15.5,12.5,".273",".360","0.913","108"
"Castro, Starlin",516770,2015,547,145,109,23,2,11,15.7,3.6,".265",".296","0.671","69"
"Kinsler, Ian",435079,2015,624,185,132,35,7,11,11.9,6.4,".296",".342","0.770","73"
"Parra, Gerardo",467827,2015,547,159,104,36,5,14,15.6,4.8,".291",".328","0.780","51"
"Upton, Justin",457708,2015,542,136,81,26,3,26,25.7,11,".251",".336","0.790","81"
"Phillips, Brandon",408252,2015,588,173,140,19,2,12,10.9,4.3,".294",".328","0.723","70"
"Frazier, Todd",453943,2015,619,158,79,43,1,35,20.2,6.5,".255",".309","0.807","89"
"Canó, Robinson",429664,2015,624,179,123,34,1,21,15.9,6.4,".287",".334","0.780","79"
"Yelich, Christian",592885,2015,476,143,104,30,2,7,19.2,9,".300",".366","0.782","44"
"Sandoval, Pablo",467055,2015,470,115,79,25,1,10,14.5,5,".245",".292","0.658","47"
"Segura, Jean",516416,2015,560,144,117,16,5,6,15.9,2.2,".257",".281","0.617","50"
"Walker, Neil",435522,2015,543,146,95,32,3,16,18.2,7.3,".269",".328","0.755","71"
"Calhoun, Kole",594777,2015,630,161,110,23,2,26,23.9,6.6,".256",".308","0.730","83"
"Inciarte, Ender",542255,2015,524,159,121,27,5,6,10.3,4.6,".303",".338","0.746","45"
"Simmons, Andrelton",592743,2015,535,142,113,23,2,4,8.2,6.7,".265",".321","0.659","44"
"Headley, Chase",452104,2015,580,150,109,29,1,11,21,7.9,".259",".324","0.693","62"
"Cain, Lorenzo",456715,2015,551,169,113,34,6,16,16.2,6.1,".307",".361","0.838","72"
"Taylor, Michael A.",572191,2015,472,108,77,15,2,14,30.9,6.8,".229",".282","0.640","63"
"Coghlan, Chris",458085,2015,440,110,63,25,6,16,18.7,11.5,".250",".341","0.784","41"
"Eaton, Adam",594809,2015,610,175,124,28,9,14,19,8.4,".287",".361","0.792","56"
"Pollock, AJ",572041,2015,609,192,127,39,6,20,13.2,7.9,".315",".367","0.865","76"
"Posey III, Buster",457763,2015,557,177,130,28,0,19,8.3,9,".318",".379","0.849","95"
"Crawford, Brandon",543063,2015,507,130,72,33,4,21,21.2,7,".256",".321","0.783","84"
"Moustakas, Mike",519058,2015,549,156,99,34,1,22,12.4,7,".284",".348","0.818","82"
"Gattis, Evan",594828,2015,566,139,81,20,11,27,19.7,5,".246",".285","0.748","88"
"Davis, Chris",448801,2015,573,150,72,31,0,47,31,12.5,".262",".361","0.923","117"
"Morrison, Logan",489149,2015,457,103,68,15,3,17,15.9,9.2,".225",".302","0.685","54"
"González, Adrián",408236,2015,571,157,96,33,0,28,16.7,9.7,".275",".350","0.830","90"
"Morales, Kendrys",434778,2015,569,165,100,41,2,22,16.1,9.1,".290",".362","0.847","106"
"Fielder, Prince",425902,2015,613,187,136,28,0,23,12.7,9.2,".305",".378","0.841","98"
"Wong, Kolten",543939,2015,557,146,103,28,4,11,15.5,5.9,".262",".321","0.707","61"
"Santana, Carlos",467793,2015,550,127,77,29,2,19,18.3,16.2,".231",".357","0.752","85"
"Machado, Manny",592518,2015,633,181,115,30,1,35,15.6,9.8,".286",".359","0.861","86"
"Dozier, Brian",572821,2015,628,148,77,39,4,28,21,8.7,".236",".307","0.751","77"
"Flores, Wilmer",527038,2015,483,127,89,22,0,16,12.4,3.7,".263",".295","0.703","59"
"Goldschmidt, Paul",502671,2015,567,182,109,38,2,33,21.8,17,".321",".435","1.005","110"
