"last_name, first_name","player_id","year","ab","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","on_base_percent","on_base_plus_slg","b_rbi"
"García, Adonis",611177,2016,532,145,102,29,0,14,16.5,4.3,".273",".311","0.717","65"
"Abreu, José",547989,2016,624,183,125,32,1,25,18,6.8,".293",".353","0.821","100"
"Shaw, Travis",543768,2016,480,116,64,34,2,16,25.1,8.1,".242",".306","0.727","71"
"Suárez, Eugenio",553993,2016,565,140,92,25,2,21,24.7,8.1,".248",".317","0.728","70"
"Núñez, Eduardo",456488,2016,553,159,115,24,4,16,14.8,4.9,".288",".325","0.757","67"
"Donaldson, Josh",518626,2016,577,164,90,32,5,37,17,15.6,".284",".404","0.953","99"
"Perez, Salvador",521692,2016,514,127,75,28,2,22,21.8,4,".247",".288","0.726","64"
"Kemp, Matt",461314,2016,623,167,93,39,0,35,23.2,5.4,".268",".304","0.803","108"
"Upton Jr., B.J.",425834,2016,492,117,79,15,3,20,28.8,6.9,".238",".291","0.693","61"
"Ramírez, José",608070,2016,565,176,116,46,3,11,10,7.1,".312",".363","0.825","76"
"Franco, Maikel",596748,2016,581,148,99,23,1,25,16.8,6.3,".255",".306","0.733","88"
"Correa, Carlos",621043,2016,577,158,99,36,3,20,21.1,11.4,".274",".361","0.812","96"
"Harper, Bryce",547180,2016,506,123,73,24,2,24,18.7,17.2,".243",".373","0.814","86"
"Altuve, Jose",514888,2016,640,216,145,42,5,24,9.8,8.4,".338",".396","0.927","96"
"Machado, Manny",592518,2016,640,188,110,40,1,37,17.2,6.9,".294",".343","0.876","96"
"Crawford, Brandon",543063,2016,553,152,101,28,11,12,18.5,9.1,".275",".342","0.772","84"
"Lindor, Francisco",596019,2016,604,182,134,30,3,15,12.9,8.3,".301",".358","0.793","78"
"Schoop, Jonathan",570731,2016,615,164,100,38,1,25,21.2,3.2,".267",".298","0.752","82"
"Arenado, Nolan",571448,2016,618,182,100,35,6,41,14.8,9.8,".294",".362","0.932","133"
"Alonso, Yonder",475174,2016,482,122,81,34,0,7,13.9,8.5,".253",".316","0.683","56"
"Longoria, Evan",446334,2016,633,173,92,41,4,36,21,6.1,".273",".318","0.839","98"
"Frazier, Todd",453943,2016,590,133,72,21,0,40,24.5,9.6,".225",".302","0.766","98"
"Semien, Marcus",543760,2016,568,135,79,27,2,27,22.4,8.2,".238",".300","0.735","75"
"Encarnación, Edwin",429665,2016,601,158,82,34,0,42,19.7,12.4,".263",".357","0.886","127"
"Bogaerts, Xander",593428,2016,652,192,136,34,1,21,17.1,8.1,".294",".356","0.802","89"
"Pagán, Ángel",434636,2016,495,137,96,24,5,12,12.2,7.8,".277",".331","0.749","55"
"Hernández, César",514917,2016,547,161,130,14,11,6,18.6,10.6,".294",".371","0.764","39"
"Marte, Starling",516782,2016,489,152,104,34,5,9,19.7,4.3,".311",".362","0.818","46"
"Herrera, Odúbel",546318,2016,583,167,125,21,6,15,20.4,9.6,".286",".361","0.781","49"
"Phillips, Brandon",408252,2016,550,160,114,34,1,11,11.6,3.1,".291",".320","0.736","64"
"Ozuna, Marcell",542303,2016,557,148,96,23,6,23,18.9,7.1,".266",".321","0.773","76"
"Martin, Leonys",547982,2016,518,128,93,17,3,15,25.9,7.6,".247",".306","0.684","47"
"Lamb, Jake",571875,2016,523,130,61,31,9,29,25.9,10.8,".249",".332","0.841","91"
