"last_name, first_name","player_id","year","ab","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","on_base_percent","on_base_plus_slg","b_rbi"
"Carlson, Dylan",666185,2021,542,144,91,31,4,18,24.6,9.2,".266",".343","0.780","65"
"Rojas, Josh",668942,2021,484,128,82,32,3,11,24.9,10.5,".264",".341","0.752","44"
"Hernández, César",514917,2021,570,132,88,21,2,21,21.2,9.3,".232",".308","0.694","62"
"Bryant, Kris",592178,2021,513,136,77,32,2,25,23,10.6,".265",".353","0.834","73"
"Lowe, Nathaniel",663993,2021,557,147,102,24,3,18,25.2,12.5,".264",".357","0.772","72"
"Lowrie, Jed",476704,2021,457,112,70,28,0,14,21.1,9.6,".245",".318","0.716","69"
"Adames, Willy",642715,2021,497,130,72,32,1,25,28.1,10.3,".262",".337","0.818","73"
"Cronenworth, Jake",630105,2021,567,151,90,33,7,21,14,8.6,".266",".340","0.800","71"
"Taylor, Chris",621035,2021,507,129,80,25,4,20,28.7,10.8,".254",".344","0.782","73"
"Aguilar, Jesús",542583,2021,449,117,72,23,0,22,18.2,9,".261",".329","0.788","93"
"Brantley Jr., Michael",488726,2021,469,146,106,29,3,8,10.4,6.5,".311",".362","0.799","47"
"Semien, Marcus",543760,2021,652,173,87,39,2,45,20.2,9.1,".265",".334","0.872","102"
"Turner, Justin",457759,2021,533,148,99,22,0,27,16,10,".278",".361","0.832","87"
"Devers, Rafael",646240,2021,591,165,89,37,1,38,21.5,9.3,".279",".352","0.890","113"
"Turner, Trea",607208,2021,595,195,130,34,3,28,17,6.3,".328",".375","0.911","77"
"Hays, Austin",669720,2021,488,125,73,26,4,22,20.2,5.3,".256",".308","0.769","71"
"Villar, Jonathan",542340,2021,454,113,75,18,2,18,26.1,9.1,".249",".322","0.738","42"
"Crawford, Brandon",543063,2021,483,144,87,30,3,24,19.1,10.2,".298",".373","0.895","90"
"Alonso, Pete",624413,2021,561,147,80,27,3,37,19.9,9.4,".262",".344","0.863","94"
"Mountcastle, Ryan",663624,2021,534,136,79,23,1,33,27.5,7,".255",".309","0.796","89"
"Tatis Jr., Fernando",665487,2021,478,135,62,31,0,42,28,11.4,".282",".364","0.975","97"
"Pham, Tommy",502054,2021,475,109,68,24,2,15,22.8,13.9,".229",".340","0.723","49"
"Crawford, J.P.",641487,2021,619,169,123,37,0,9,16.6,8.4,".273",".338","0.714","54"
"Mullins II, Cedric",656775,2021,602,175,103,37,5,30,18.5,8.7,".291",".360","0.878","59"
"Lindor, Francisco",596019,2021,452,104,65,16,3,20,18.3,11.1,".230",".322","0.734","63"
"Gallo, Joey",608336,2021,498,99,47,13,1,38,34.6,18,".199",".351","0.809","77"
"Martinez, J.D.",502110,2021,570,163,90,42,3,28,23.7,8.7,".286",".349","0.867","99"
"Ramírez, José",608070,2021,552,147,74,32,5,36,13.7,11.3,".266",".355","0.893","103"
"Hernández, Enrique",571771,2021,508,127,69,35,3,20,18.8,10.4,".250",".337","0.786","60"
"Bogaerts, Xander",593428,2021,529,156,98,34,1,23,18.7,10.3,".295",".370","0.863","79"
"Yastrzemski, Mike",573262,2021,468,105,49,28,3,25,24.6,9.6,".224",".311","0.768","71"
"Tucker, Kyle",663656,2021,506,149,79,37,3,30,15.9,9.3,".294",".359","0.916","92"
"Frazier, Adam",624428,2021,577,176,130,36,5,5,10.8,7.5,".305",".368","0.779","43"
"Grisham, Trent",663757,2021,462,112,66,28,3,15,22.6,10.2,".242",".327","0.740","62"
"France, Ty",664034,2021,571,166,115,32,1,18,16.3,7.1,".291",".368","0.813","73"
"Seager, Kyle",572122,2021,603,128,63,29,1,35,24,8.8,".212",".285","0.723","101"
"Torres, Gleyber",650402,2021,459,119,88,22,0,9,20.2,9.7,".259",".331","0.697","51"
"Gurriel Jr., Lourdes",666971,2021,500,138,87,28,2,21,18.9,5.9,".276",".319","0.785","84"
"Grichuk, Randal",545341,2021,511,123,75,25,1,22,20.9,5,".241",".281","0.704","81"
"Hernández, Teoscar",606192,2021,550,163,102,29,0,32,24.9,6.1,".296",".346","0.870","116"
"Grossman, Robbie",543257,2021,557,133,84,23,3,23,23.1,14.6,".239",".357","0.772","67"
"Hosmer, Eric",543333,2021,509,137,97,28,0,12,17.5,8.5,".269",".337","0.732","65"
"Harper, Bryce",547180,2021,488,151,73,42,1,35,22.4,16.7,".309",".429","1.044","84"
"Arozarena, Randy",668227,2021,529,145,90,32,3,20,28.1,9.3,".274",".356","0.815","69"
"Smith, Pavin",656976,2021,498,133,91,27,4,11,19.4,7.7,".267",".328","0.732","49"
"Ohtani, Shohei",660271,2021,537,138,58,26,8,46,29.6,15,".257",".372","0.964","100"
"Realmuto, J.T.",592663,2021,476,125,79,25,4,17,24,8.9,".263",".343","0.782","73"
"LeMahieu, DJ",518934,2021,597,160,125,24,1,10,13.8,10.8,".268",".349","0.711","57"
"Cruz Jr., Nelson",443558,2021,513,136,82,21,1,32,21.6,8.7,".265",".334","0.831","86"
"Chapman, Matt",656305,2021,529,111,66,15,3,27,32.5,12.9,".210",".314","0.717","72"
"Duvall, Adam",594807,2021,513,117,60,17,2,38,31.4,6.3,".228",".281","0.772","113"
"Reynolds, Bryan",668804,2021,559,169,102,35,8,24,18.4,11.6,".302",".390","0.912","90"
"Arenado, Nolan",571448,2021,593,151,80,34,3,34,14.7,7.7,".255",".312","0.806","105"
