"last_name, first_name","player_id","year","ab","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","on_base_percent","on_base_plus_slg","b_rbi"
"Profar, Jurickson",595777,2018,524,133,72,35,6,20,14.8,9.1,".254",".335","0.793","77"
"Santana, Carlos",467793,2018,560,128,74,28,2,24,13.7,16.2,".229",".352","0.766","86"
"Hoskins, Rhys",656555,2018,558,137,65,38,0,34,22.7,13.2,".246",".354","0.850","96"
"Rosario, Amed",642708,2018,554,142,99,26,8,9,20.1,4.9,".256",".295","0.676","51"
"Pillar, Kevin",607680,2018,512,129,72,40,2,15,18.1,3.3,".252",".282","0.708","59"
"Dietrich, Derek",518618,2018,499,132,88,26,2,16,25.4,5.3,".265",".330","0.751","45"
"Encarnación, Edwin",429665,2018,500,123,74,16,1,32,22.8,10.9,".246",".336","0.810","107"
"Turner, Trea",607208,2018,664,180,128,27,6,19,17.8,9.3,".271",".344","0.760","73"
"Suárez, Eugenio",553993,2018,527,149,91,22,2,34,23.4,10.6,".283",".366","0.892","104"
"Altuve, Jose",514888,2018,534,169,125,29,2,13,13.2,9.2,".316",".386","0.837","61"
"Benintendi, Andrew",643217,2018,579,168,105,41,6,16,16,10.7,".290",".366","0.831","87"
"Cain, Lorenzo",456715,2018,539,166,129,25,2,10,15.2,11.5,".308",".395","0.812","38"
"Markakis, Nick",455976,2018,623,185,126,43,2,14,11.3,10.2,".297",".366","0.806","93"
"Kepler, Max",596146,2018,532,119,65,30,4,20,15.7,11.6,".224",".319","0.727","58"
"Schwarber, Kyle",656941,2018,428,102,59,14,3,26,27.5,15.3,".238",".356","0.823","61"
"Blackmon, Charlie",453568,2018,626,182,115,31,7,29,19.3,8.5,".291",".358","0.860","70"
"Smith, Mallex",605480,2018,480,142,103,27,10,2,18,8.6,".296",".367","0.773","40"
"LeMahieu, DJ",518934,2018,533,147,98,32,2,15,14.1,6.4,".276",".321","0.749","62"
"Lindor, Francisco",596019,2018,661,183,101,42,2,38,14.4,9.4,".277",".352","0.871","92"
"Polanco, Gregory",570256,2018,461,117,56,32,6,23,21.9,11.4,".254",".340","0.839","81"
"Hamilton, Billy",571740,2018,504,119,90,16,9,4,23.7,8.3,".236",".299","0.626","29"
"Hosmer, Eric",543333,2018,613,155,104,31,2,18,21,9.2,".253",".322","0.720","69"
"Simmons, Andrelton",592743,2018,554,162,120,26,5,11,7.3,5.8,".292",".337","0.754","75"
"Cabrera, Asdrúbal",452678,2018,546,143,83,36,1,23,20.1,6.9,".262",".316","0.774","75"
"Rizzo, Anthony",519203,2018,566,160,105,29,1,25,12,10.5,".283",".376","0.846","101"
"Calhoun, Kole",594777,2018,491,102,63,18,2,19,24.1,9.6,".208",".283","0.652","57"
"McCutchen, Andrew",457705,2018,569,145,92,30,3,20,21.3,13.9,".255",".368","0.792","65"
"Dickerson, Corey",572816,2018,504,151,96,35,7,13,15,3.9,".300",".330","0.804","55"
"Crawford, Brandon",543063,2018,531,135,91,28,2,14,20.5,8.4,".254",".325","0.719","54"
"Healy, Ryon",592387,2018,493,116,77,15,0,24,21.6,5.2,".235",".277","0.689","73"
"Castellanos, Nick",592206,2018,620,185,111,46,5,23,22.3,7.2,".298",".354","0.854","89"
"Cron, C.J.",543068,2018,501,127,68,28,1,30,25.9,6.6,".253",".323","0.816","74"
"Galvis, Freddy",520471,2018,602,149,100,31,5,13,22.4,6.9,".248",".299","0.679","67"
"Mazara, Nomar",608577,2018,489,126,80,25,1,20,21.6,7.5,".258",".317","0.753","77"
"Story, Trevor",596115,2018,598,174,89,42,6,37,25.6,7.2,".291",".348","0.915","108"
"Herrera, Odúbel",546318,2018,550,140,96,19,3,22,20.4,6.4,".255",".310","0.730","71"
"Chapman, Matt",656305,2018,547,152,80,42,6,24,23.7,9.4,".278",".356","0.864","68"
"Arenado, Nolan",571448,2018,590,175,97,38,2,38,18.1,10.8,".297",".374","0.935","110"
"Candelario, Jeimer",600869,2018,539,121,71,28,3,19,25.8,10.7,".224",".317","0.710","54"
"Peraza, José",606299,2018,632,182,133,31,4,14,11,4.2,".288",".326","0.742","58"
"Moncada, Yoán",660162,2018,578,136,81,32,6,17,33.4,10.3,".235",".315","0.715","61"
"Abreu, José",547989,2018,499,132,73,36,1,22,19.7,6.7,".265",".325","0.798","78"
"Núñez, Eduardo",456488,2018,480,127,91,23,3,10,13.7,3.2,".265",".289","0.677","44"
"Hicks, Aaron",543305,2018,480,119,71,18,3,27,19.1,15.5,".248",".366","0.833","79"
"Martinez, J.D.",502110,2018,569,188,106,37,2,43,22.5,10.6,".330",".402","1.031","130"
"Goldschmidt, Paul",502671,2018,593,172,99,35,5,33,25.1,13,".290",".389","0.922","83"
"Mauer, Joe",408045,2018,486,137,103,27,1,6,15.8,9.4,".282",".351","0.730","48"
"Gurriel Jr., Yuli",493329,2018,537,156,109,33,1,13,11,4,".291",".323","0.751","85"
"Nimmo, Brandon",607043,2018,433,114,61,28,8,17,26.2,15,".263",".404","0.887","47"
"Kinsler, Ian",435079,2018,487,117,77,26,0,14,12,7.5,".240",".301","0.681","48"
"Andujar, Miguel",609280,2018,573,170,94,47,2,27,16,4.1,".297",".328","0.855","92"
"Desmond, Ian",435622,2018,555,131,80,21,8,22,23.6,8.6,".236",".307","0.729","88"
"Machado, Manny",592518,2018,632,188,113,35,3,37,14.7,9.9,".297",".367","0.905","107"
"Bell, Josh",605137,2018,501,131,84,31,4,12,17.8,13.2,".261",".357","0.768","62"
"Aguilar, Jesús",542583,2018,492,135,75,25,0,35,25.3,10.2,".274",".352","0.891","108"
"Gordon, Alex",460086,2018,506,124,87,24,0,13,21.8,8.8,".245",".324","0.694","54"
"Realmuto, J.T.",592663,2018,477,132,78,30,3,21,19.7,7.2,".277",".340","0.824","74"
"Brantley Jr., Michael",488726,2018,570,176,121,36,2,17,9.5,7.6,".309",".364","0.832","76"
"Peralta, David",444482,2018,560,164,104,25,5,30,20.2,7.8,".293",".352","0.868","87"
"Seager, Kyle",572122,2018,583,129,70,36,1,22,21.9,6,".221",".273","0.673","78"
"Molina, Yadier",425877,2018,459,120,80,20,0,20,13.1,5.8,".261",".314","0.750","74"
"Jones, Adam",430945,2018,580,163,113,35,0,15,15.2,3.9,".281",".313","0.732","63"
"Piscotty, Stephen",572039,2018,546,146,78,41,0,27,18.8,6.9,".267",".331","0.822","88"
"Marte, Ketel",606466,2018,520,135,83,26,12,14,13.6,9.3,".260",".332","0.769","59"
"Yelich, Christian",592885,2018,574,187,110,34,7,36,20.7,10.4,".326",".402","1.000","110"
"Haniger, Mitch",571745,2018,596,170,102,38,4,26,21.7,10.2,".285",".366","0.859","93"
"Zobrist, Ben",450314,2018,455,139,99,28,3,9,11.5,10.6,".305",".378","0.818","58"
"Odor, Rougned",596059,2018,474,120,77,23,2,18,23.7,8,".253",".326","0.750","63"
"Ahmed, Nick",605113,2018,516,121,67,33,5,16,19.3,7.1,".234",".290","0.701","70"
"Perez, Salvador",521692,2018,510,120,70,23,0,27,19.9,3.1,".235",".274","0.713","80"
"Martínez, José A.",500874,2018,534,163,116,30,0,17,17.6,8.3,".305",".364","0.821","83"
"Wendle, Joey",621563,2018,487,146,100,33,6,7,17.6,6.8,".300",".354","0.789","61"
"Rosario, Eddie",592696,2018,559,161,104,31,2,24,17.6,5.1,".288",".323","0.802","77"
"Escobar, Alcides",444876,2018,485,112,83,22,3,4,13.9,5.5,".231",".279","0.592","34"
"Contreras, Willson",575929,2018,474,118,76,27,5,10,22.2,9.7,".249",".339","0.729","54"
"Anderson, Tim",641313,2018,567,136,85,28,3,20,24.6,5,".240",".281","0.687","64"
"Martinez, Victor",400121,2018,467,117,87,21,0,9,9.6,6.3,".251",".297","0.650","54"
"Bogaerts, Xander",593428,2018,513,148,77,45,3,23,17.6,9.5,".288",".360","0.882","103"
"González, Carlos",471865,2018,463,128,76,32,4,16,22.4,7.3,".276",".329","0.796","64"
"Choo, Shin-Soo",425783,2018,560,148,96,30,1,21,23.5,13.8,".264",".377","0.811","62"
"Betts, Mookie",605141,2018,520,180,96,47,5,32,14.8,13.2,".346",".438","1.078","80"
"Solarte, Yangervis",500208,2018,468,106,69,20,0,17,14.2,6.1,".226",".277","0.655","54"
"Castro, Starlin",516770,2018,593,165,119,32,2,12,19.2,7.4,".278",".329","0.729","54"
"Segura, Jean",516416,2018,586,178,136,29,3,10,10.9,5.1,".304",".341","0.756","63"
"Kemp, Matt",461314,2018,462,134,88,25,0,21,22.7,7.1,".290",".338","0.819","85"
"Stanton, Giancarlo",519317,2018,617,164,91,34,1,38,29.9,9.9,".266",".343","0.852","100"
"Olson, Matt",621566,2018,580,143,81,33,0,29,24.7,10.6,".247",".335","0.788","84"
"Shaw, Travis",543768,2018,498,120,65,23,0,32,18.4,13.3,".241",".345","0.825","86"
"Pham, Tommy",502054,2018,494,136,91,18,6,21,24.6,11.8,".275",".367","0.831","63"
"Hernández, Teoscar",606192,2018,476,114,56,29,7,22,31.2,7.8,".239",".302","0.770","57"
"Smoak, Justin",475253,2018,505,122,63,34,0,25,26.3,14,".242",".350","0.807","77"
"Albies, Ozzie",645277,2018,639,167,98,40,5,24,17,5.3,".261",".305","0.757","72"
"Hernández, César",514917,2018,605,153,120,15,3,15,21.9,13.4,".253",".356","0.718","60"
"Barnhart, Tucker",571466,2018,460,114,80,21,3,10,18.4,10.3,".248",".328","0.700","46"
"Conforto, Michael",624424,2018,543,132,78,25,1,28,24.9,13.2,".243",".350","0.798","82"
"Villar, Jonathan",542340,2018,466,121,92,14,1,14,26.8,8,".260",".325","0.709","46"
"Bregman, Alex",608324,2018,594,170,87,51,1,31,12.1,13.6,".286",".394","0.926","103"
"Bradley Jr., Jackie",598265,2018,474,111,61,33,4,13,25.6,8.6,".234",".314","0.717","59"
"Lowrie, Jed",476704,2018,596,159,98,37,1,23,18.8,11.5,".267",".353","0.801","99"
"Trout, Mike",545361,2018,471,147,80,24,4,39,20.4,20.1,".312",".460","1.088","79"
"Davis, Khris",501981,2018,576,142,65,28,1,48,26.8,9,".247",".326","0.875","123"
"Freeman, Freddie",518692,2018,618,191,120,44,4,23,18.7,10.7,".309",".388","0.893","98"
"Gregorius, Didi",544369,2018,504,135,80,23,5,27,12.1,8.4,".268",".335","0.829","86"
"Longoria, Evan",446334,2018,480,117,72,25,4,16,19.7,4.3,".244",".281","0.693","54"
"Dozier, Brian",572821,2018,553,119,66,30,2,21,20.4,11.1,".215",".305","0.696","72"
"Inciarte, Ender",542255,2018,597,158,115,27,6,10,13,7.4,".265",".325","0.705","61"
"Camargo, Johan",622666,2018,464,126,79,27,1,19,20.6,9.7,".272",".349","0.806","76"
"Escobar, Eduardo",500871,2018,566,154,80,48,3,23,20,8.2,".272",".334","0.823","84"
"Mancini III, Trey",641820,2018,582,141,91,23,3,24,24.1,6.9,".242",".299","0.715","58"
"Rendon, Anthony",543685,2018,529,163,93,44,2,24,13.7,9.2,".308",".374","0.909","92"
"Báez, Javier",595879,2018,606,176,93,40,9,34,25.9,4.5,".290",".326","0.880","111"
"Swanson, Dansby",621020,2018,478,114,71,25,4,14,22.9,8.3,".238",".304","0.699","59"
"Semien, Marcus",543760,2018,632,161,109,35,2,15,18.6,8.7,".255",".318","0.706","70"
"Votto, Joey",458015,2018,503,143,101,28,2,12,16.2,17.3,".284",".417","0.836","67"
"Gallo, Joey",608336,2018,500,103,38,24,1,40,35.9,12.8,".206",".312","0.810","92"
"Gardner, Brett",458731,2018,530,125,86,20,7,12,17.6,10.7,".236",".322","0.690","45"
"Jay, Jon",445055,2018,527,141,112,19,7,3,16.2,5.6,".268",".330","0.677","40"
