"last_name, first_name","player_id","year","ab","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","on_base_percent","on_base_plus_slg","b_rbi"
"Hernández, Teoscar",606192,2023,625,161,104,29,2,26,31.1,5.6,".258",".305","0.740","93"
"Ramírez, José",608070,2023,611,172,107,36,5,24,10.6,10.6,".282",".356","0.831","80"
"McKinstry, Zach",656716,2023,464,107,73,21,4,9,21.8,8.5,".231",".302","0.653","35"
"Lowe, Nathaniel",663993,2023,623,163,105,38,3,17,22.8,12.8,".262",".360","0.774","82"
"Happ, Ian",664023,2023,580,144,84,35,4,21,22.1,14.3,".248",".360","0.791","84"
"Springer III, George",543807,2023,613,158,111,25,1,21,18.3,8.8,".258",".327","0.732","72"
"Santana, Carlos",467793,2023,550,132,75,33,1,23,16.8,10.5,".240",".318","0.747","86"
"Tovar, Ezequiel",678662,2023,581,147,91,37,4,15,27,4.1,".253",".287","0.695","73"
"Devers, Rafael",646240,2023,580,157,90,34,0,33,19.2,9.5,".271",".351","0.851","100"
"Profar, Jurickson",595777,2023,459,111,73,27,2,9,17.3,9.6,".242",".321","0.689","46"
"Arcia, Orlando",606115,2023,488,129,87,25,0,17,19.1,7.3,".264",".321","0.741","65"
"Santander, Anthony",623993,2023,591,152,82,41,1,28,23.2,8.4,".257",".325","0.797","95"
"De La Cruz, Bryan",650559,2023,579,149,98,32,0,19,22.7,6.4,".257",".304","0.715","78"
"Kwan, Steven",680757,2023,638,171,123,36,7,5,10.4,9.7,".268",".340","0.710","54"
"Rosario, Eddie",592696,2023,478,122,74,24,3,21,23.6,6.6,".255",".305","0.755","74"
"Kim, Ha-Seong",673490,2023,538,140,100,23,0,17,19.8,12,".260",".351","0.749","60"
"Bichette, Bo",666182,2023,571,175,122,30,3,20,19.1,4.5,".306",".339","0.814","73"
"Acuña Jr., Ronald",660670,2023,643,217,137,35,4,41,11.4,10.9,".337",".416","1.012","106"
"Burger, Jake",669394,2023,492,123,60,28,1,34,27.6,5.9,".250",".309","0.827","80"
"Freeman, Freddie",518692,2023,637,211,121,59,2,29,16.6,9.9,".331",".410","0.977","102"
"Vaughn, Andrew",683734,2023,566,146,93,30,2,21,21,5.9,".258",".314","0.743","80"
"McMahon, Ryan",641857,2023,555,133,76,31,3,23,31.6,10.8,".240",".322","0.753","70"
"Smith, Will",669257,2023,464,121,79,21,2,19,16.1,11.4,".261",".359","0.797","76"
"Castellanos, Nick",592206,2023,626,170,102,37,2,29,27.6,5.4,".272",".311","0.787","106"
"Rodríguez, Julio",677594,2023,654,180,109,37,2,32,24.5,6.6,".275",".333","0.818","103"
"Semien, Marcus",543760,2023,670,185,112,40,4,29,14.6,9.6,".276",".348","0.826","100"
"Varsho, Daulton",662139,2023,527,116,70,23,3,20,23.2,7.7,".220",".285","0.674","61"
"Robert Jr., Luis",673357,2023,546,144,69,36,1,38,28.9,5,".264",".315","0.857","80"
"Stephenson, Tyler",663886,2023,465,113,78,20,2,13,26.1,9.1,".243",".317","0.695","56"
"Hayes, Ke'Bryan",663647,2023,494,134,81,31,7,15,19.8,5.3,".271",".309","0.762","61"
"Jung, Josh",673962,2023,478,127,78,25,1,23,29.3,5.8,".266",".315","0.782","70"
"Meneses, Joey",608841,2023,611,168,118,36,1,13,19.8,5.8,".275",".321","0.722","89"
"Yelich, Christian",592885,2023,550,153,99,34,1,19,22.2,12.3,".278",".370","0.817","76"
"Rosario, Amed",642708,2023,510,134,95,25,8,6,18.2,5.3,".263",".305","0.683","58"
"Steer, Spencer",668715,2023,582,158,95,37,3,23,20.9,10.2,".271",".356","0.820","86"
"Perez, Salvador",521692,2023,538,137,93,21,0,23,23.3,3.3,".255",".292","0.714","80"
