"last_name, first_name","player_id","year","ab","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","on_base_percent","on_base_plus_slg","b_rbi"
"Voit III, Luke",572228,2020,213,59,32,5,0,22,23.1,7.3,".277",".338","0.948","52"
"Edman, Tommy",669242,2020,204,51,38,7,1,5,21.1,7,".250",".317","0.685","26"
"Castellanos, Nick",592206,2020,218,49,22,11,2,14,28.5,7.9,".225",".298","0.784","34"
"Arenado, Nolan",571448,2020,182,46,29,9,0,8,10,7.5,".253",".303","0.737","26"
"Duvall, Adam",594807,2020,190,45,21,8,0,16,25.8,7.2,".237",".301","0.833","33"
"Swanson, Dansby",621020,2020,237,65,40,15,0,10,26.9,8.3,".274",".345","0.809","35"
"Yastrzemski, Mike",573262,2020,192,57,29,14,4,10,24.4,13.3,".297",".400","0.968","35"
"Bradley Jr., Jackie",598265,2020,191,54,36,11,0,7,22.1,10.6,".283",".364","0.814","22"
"González, Erik",570481,2020,181,41,24,13,1,3,26.4,4.1,".227",".255","0.614","20"
"Canha, Mark",592192,2020,191,47,28,12,2,5,22.2,15.2,".246",".387","0.795","33"
"McCutchen, Andrew",457705,2020,217,55,36,9,0,10,19.9,9.1,".253",".324","0.757","34"
"Flores, Wilmer",527038,2020,198,53,29,11,1,12,16.9,6.1,".268",".315","0.830","32"
"Tapia, Raimel",606132,2020,184,59,48,8,2,1,18.4,6.8,".321",".369","0.771","17"
"Nimmo, Brandon",607043,2020,186,52,33,8,3,8,19.1,14.7,".280",".404","0.888","18"
"Aguilar, Jesús",542583,2020,188,52,34,10,0,8,18.5,10.6,".277",".352","0.809","34"
"Machado, Manny",592518,2020,224,68,39,12,1,16,14.6,10.2,".304",".370","0.950","47"
"Polanco, Jorge",593871,2020,209,54,42,8,0,4,15.5,5.8,".258",".304","0.658","19"
"Marte, Starling",516782,2020,228,64,43,14,1,6,16.4,4.8,".281",".340","0.770","27"
