"last_name, first_name","player_id","year","ab","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","on_base_percent","on_base_plus_slg","b_rbi"
"Greene, Riley",682985,2024,512,134,77,27,6,24,26.7,11,".262",".348","0.827","74"
"Langeliers, Shea",669127,2024,482,108,59,18,2,29,27.2,7.7,".224",".288","0.738","80"
"India, Jonathan",663697,2024,533,132,87,28,2,15,19.6,12.6,".248",".357","0.749","58"
"Young, Jacob",696285,2024,468,120,92,24,1,3,19.6,5.8,".256",".316","0.647","36"
"Suzuki, Seiya",673548,2024,512,145,91,27,6,21,27.4,10.8,".283",".366","0.848","73"
"Arcia, Orlando",606115,2024,551,120,79,24,0,17,21.3,6.8,".218",".271","0.625","46"
"Goldschmidt, Paul",502671,2024,599,147,91,33,1,22,26.5,7.2,".245",".302","0.716","65"
"Torres, Gleyber",650402,2024,587,151,110,26,0,15,20.5,9.8,".257",".330","0.708","63"
"Garcia, Maikel",672580,2024,575,133,94,27,5,7,16.5,6.7,".231",".281","0.613","58"
"Seager, Corey",608369,2024,475,132,81,21,0,30,18,9.9,".278",".353","0.865","74"
"Rodríguez, Julio",677594,2024,567,155,118,17,0,20,25.4,6.2,".273",".325","0.734","68"
"Bellinger, Cody",641355,2024,516,137,93,23,3,18,15.6,7.9,".266",".325","0.751","78"
"Harper, Bryce",547180,2024,550,157,85,42,0,30,21.9,12,".285",".373","0.898","87"
"Paredes, Isaac",670623,2024,542,129,84,25,1,19,16.4,11.9,".238",".346","0.739","80"
"Swanson, Dansby",621020,2024,534,129,84,27,2,16,24.3,9.1,".242",".312","0.702","66"
"Semien, Marcus",543760,2024,650,154,102,27,2,23,14.6,8.9,".237",".308","0.699","74"
"Arraez, Luis",650333,2024,637,200,161,32,3,4,4.3,3.6,".314",".346","0.738","46"
"Bleday, JJ",668709,2024,572,139,72,43,4,20,19.5,10.4,".243",".324","0.761","60"
"Ward, Taylor",621493,2024,585,144,91,26,2,25,24.6,9.5,".246",".323","0.749","75"
"Chisholm Jr., Jazz",665862,2024,562,144,95,21,4,24,24.5,8.5,".256",".324","0.760","73"
"Cronenworth, Jake",630105,2024,577,139,90,29,3,17,18,9.3,".241",".324","0.714","83"
"Lowe, Nathaniel",663993,2024,486,129,96,16,1,16,22.1,12.6,".265",".361","0.762","69"
"Contreras, William",661388,2024,595,167,105,37,2,23,20.5,11.5,".281",".365","0.831","92"
"Ohtani, Shohei",660271,2024,636,197,98,38,7,54,22.2,11.1,".310",".390","1.036","130"
"Soto, Juan",665742,2024,576,166,90,31,4,41,16.7,18.1,".288",".419","0.988","109"
"Ramos, Heliot",671218,2024,475,128,80,23,3,22,26.1,7.1,".269",".322","0.791","72"
"Arenado, Nolan",571448,2024,578,157,118,23,0,16,14.5,6.9,".272",".325","0.719","71"
"Mountcastle, Ryan",663624,2024,473,128,83,30,2,13,22.5,5.3,".271",".308","0.733","63"
"Giménez, Andrés",665926,2024,583,147,115,22,1,9,15.3,4.1,".252",".298","0.638","63"
"Naylor, Josh",647304,2024,563,137,79,27,0,31,16.6,9.2,".243",".320","0.776","108"
"Ramírez, José",608070,2024,620,173,93,39,2,39,12,7.9,".279",".335","0.872","118"
"Rutschman, Adley",668939,2024,571,143,102,21,1,19,16.1,9.1,".250",".318","0.709","79"
"Machado, Manny",592518,2024,593,163,104,30,0,29,19.3,7,".275",".325","0.797","105"
"Smith, Josh",669701,2024,523,135,91,30,1,13,20.4,7.8,".258",".337","0.731","62"
"Devers, Rafael",646240,2024,525,143,76,34,5,28,24.5,11.1,".272",".354","0.870","83"
"Perez, Salvador",521692,2024,590,160,105,28,0,27,19.8,6.7,".271",".330","0.786","104"
"Gelof, Zack",680869,2024,497,105,66,20,2,17,34.4,6.9,".211",".270","0.632","49"
"Thomas, Lane",657041,2024,472,112,68,26,3,15,25.9,8.3,".237",".309","0.709","63"
"McCutchen, Andrew",457705,2024,448,104,65,18,1,20,25.8,11.3,".232",".328","0.739","50"
"Suárez, Eugenio",553993,2024,571,146,86,28,2,30,27.5,7.7,".256",".319","0.788","101"
"García, Luis",671277,2024,500,141,97,25,1,18,16.3,5.1,".282",".318","0.762","70"
"Castellanos, Nick",592206,2024,606,154,97,30,4,23,21.1,6.2,".254",".311","0.742","86"
"Carroll, Corbin",682998,2024,589,136,78,22,14,22,19,10.7,".231",".322","0.750","74"
"Arozarena, Randy",668227,2024,549,120,67,33,0,20,26.1,11.3,".219",".332","0.720","60"
"Tovar, Ezequiel",678662,2024,655,176,101,45,4,26,28.8,3.3,".269",".295","0.764","78"
"Santana, Carlos",467793,2024,521,124,75,26,0,23,16.7,10.9,".238",".328","0.748","71"
"Happ, Ian",664023,2024,569,138,77,34,2,25,25.6,12.2,".243",".341","0.782","86"
"Doyle, Brenton",686668,2024,542,141,90,24,4,23,25.4,7.6,".260",".317","0.763","72"
"Meyers, Jake",676694,2024,461,101,65,20,3,13,22.8,6.8,".219",".286","0.646","61"
"García, Adolis",666969,2024,580,130,78,27,0,25,27.8,7.1,".224",".284","0.684","85"
"Vierling, Matt",663837,2024,518,133,84,28,5,16,21.3,7.2,".257",".312","0.735","57"
"Walker, Christian",572233,2024,479,120,68,26,0,26,24.1,10,".251",".335","0.803","84"
"Langford, Wyatt",694671,2024,499,126,81,25,4,16,20.6,9.2,".253",".325","0.740","74"
"Schwarber, Kyle",656941,2024,573,142,82,22,0,38,28.5,15.3,".248",".366","0.851","104"
"Hoskins, Rhys",656555,2024,449,96,56,14,0,26,28.8,10.3,".214",".303","0.722","82"
"Cruz, Oneil",665833,2024,541,140,82,34,3,21,30.2,8.5,".259",".324","0.773","76"
"Ortiz, Joey",687401,2024,440,105,63,25,6,11,20.2,11,".239",".329","0.727","60"
"Cowser, Colton",681297,2024,499,121,70,24,3,24,30.7,9.3,".242",".321","0.768","69"
"Merrill, Jackson",701538,2024,554,162,101,31,6,24,17,4.9,".292",".326","0.826","90"
"Diaz, Yainer",673237,2024,585,175,127,29,3,16,17.3,3.9,".299",".325","0.766","84"
"De La Cruz, Bryan",650559,2024,584,136,90,25,0,21,27.3,4.7,".233",".271","0.655","68"
"Rodgers, Brendan",663898,2024,501,134,91,29,1,13,24.5,5.8,".267",".314","0.721","54"
