"last_name, first_name","player_id","year","ab","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","on_base_percent","on_base_plus_slg","b_rbi"
"Kirk, Alejandro",672386,2022,470,134,101,19,0,14,10.7,11.6,".285",".372","0.787","63"
"Schwarber, Kyle",656941,2022,577,126,56,21,3,46,29.9,12.9,".218",".323","0.827","94"
"Pollock, AJ",572041,2022,489,120,79,26,1,14,18.6,6.1,".245",".292","0.681","56"
"Cruz Jr., Nelson",443558,2022,448,105,79,16,0,10,23.5,9.7,".234",".313","0.650","64"
"Turner, Trea",607208,2022,652,194,130,39,4,21,18.5,6.4,".298",".343","0.809","100"
"Mullins II, Cedric",656775,2022,608,157,105,32,4,16,18.8,7,".258",".318","0.721","64"
"Acuña Jr., Ronald",660670,2022,467,124,85,24,0,15,23.6,9.9,".266",".351","0.764","50"
"Cron, C.J.",543068,2022,575,148,88,28,3,29,25.9,6.8,".257",".315","0.783","102"
"Frazier, Adam",624428,2022,541,129,100,22,4,3,12.1,7.6,".238",".301","0.612","42"
"Reynolds, Bryan",668804,2022,542,142,92,19,4,27,23,9.1,".262",".345","0.806","62"
"Vaughn, Andrew",683734,2022,510,138,92,28,1,17,17.3,5.6,".271",".321","0.750","76"
"Hayes, Ke'Bryan",663647,2022,505,123,89,24,3,7,21.8,8.6,".244",".314","0.659","41"
"Thomas, Lane",657041,2022,498,120,75,26,2,17,24.1,7.5,".241",".301","0.705","52"
"Gurriel Jr., Yuli",493329,2022,545,132,84,40,0,8,12.5,5.1,".242",".288","0.648","53"
"Rodríguez, Julio",677594,2022,511,145,89,25,3,28,25.9,7.1,".284",".345","0.854","75"
"Tucker, Kyle",663656,2022,544,140,81,28,1,30,15.6,9.7,".257",".330","0.808","107"
"Hoskins, Rhys",656555,2022,589,145,80,33,2,30,25.1,10.7,".246",".332","0.794","79"
"Merrifield, Whit",593160,2022,504,126,86,28,1,11,15.5,6.9,".250",".298","0.673","58"
"Bichette, Bo",666182,2022,652,189,121,43,1,24,22.2,5.9,".290",".333","0.802","93"
"Semien, Marcus",543760,2022,657,163,101,31,5,26,16.6,7.3,".248",".304","0.733","83"
"Rosario, Amed",642708,2022,637,180,134,26,9,11,16.6,3.7,".283",".312","0.715","71"
"Betts, Mookie",605141,2022,572,154,76,40,3,35,16.3,8.6,".269",".340","0.873","82"
"Castellanos, Nick",592206,2022,524,138,98,27,0,13,23.3,5.2,".263",".305","0.694","62"
"Schoop, Jonathan",570731,2022,481,97,62,23,1,11,21,3.7,".202",".239","0.561","38"
"Ramírez, José",608070,2022,601,168,90,44,5,29,12,10.1,".280",".355","0.869","126"
"Yelich, Christian",592885,2022,575,145,102,25,4,14,24.1,13.1,".252",".355","0.738","57"
"Báez, Javier",595879,2022,555,132,84,27,4,17,24.9,4.4,".238",".278","0.671","67"
"García, Adolis",666969,2022,605,151,85,34,5,27,27.9,6.1,".250",".300","0.756","101"
"Mateo, Jorge",622761,2022,494,109,64,25,7,13,27.6,5.1,".221",".267","0.646","50"
"Bellinger, Cody",641355,2022,504,106,57,27,3,19,27.3,6.9,".210",".265","0.654","68"
"Bregman, Alex",608324,2022,548,142,81,38,0,23,11.7,13.3,".259",".366","0.820","93"
"Rojas, Miguel",500743,2022,471,111,84,19,2,6,12,5.1,".236",".283","0.606","36"
"McNeil, Jeff",643446,2022,533,174,125,39,1,9,10.4,6.8,".326",".382","0.836","62"
"Grisham, Trent",663757,2022,451,83,48,16,2,17,28.6,10.9,".184",".284","0.625","53"
"Rengifo, Luis",650859,2022,489,129,86,22,4,17,15.5,3.3,".264",".294","0.723","52"
"Yastrzemski, Mike",573262,2022,485,104,54,31,2,17,25.3,10.9,".214",".305","0.697","57"
"Rodgers, Brendan",663898,2022,527,140,94,30,3,13,17.4,7.9,".266",".325","0.733","63"
"Rizzo, Anthony",519203,2022,465,104,50,21,1,32,18.4,10.6,".224",".338","0.818","75"
"Varsho, Daulton",662139,2022,531,125,72,23,3,27,24.5,7.8,".235",".302","0.745","74"
"Santander, Anthony",623993,2022,574,138,81,24,0,33,18.9,8.5,".240",".318","0.773","89"
"Peña, Jeremy",665161,2022,521,132,88,20,2,22,24.2,3.9,".253",".289","0.715","63"
"Realmuto, J.T.",592663,2022,504,139,86,26,5,22,21.2,7.3,".276",".342","0.820","84"
"Arozarena, Randy",668227,2022,586,154,90,41,3,20,24.2,7.1,".263",".327","0.772","89"
"Profar, Jurickson",595777,2022,575,140,87,36,2,15,15.7,11.1,".243",".331","0.722","58"
"Turner, Justin",457759,2022,468,130,81,36,0,13,16.7,9.4,".278",".350","0.788","81"
"Guerrero Jr., Vladimir",665489,2022,638,175,108,35,0,32,16.4,8.2,".274",".339","0.819","97"
"Blackmon, Charlie",453568,2022,530,140,96,22,6,16,18.9,5.5,".264",".314","0.733","78"
"Grichuk, Randal",545341,2022,506,131,88,21,3,19,23.6,4.5,".259",".299","0.724","73"
"Swanson, Dansby",621020,2022,640,177,119,32,1,25,26.1,7,".277",".329","0.776","96"
"Edman, Tommy",669242,2022,577,153,105,31,4,13,17.6,7.3,".265",".324","0.724","57"
"Hernández, César",514917,2022,560,139,106,28,4,1,18.5,7.3,".248",".311","0.629","34"
"Winker, Jesse",608385,2022,456,100,71,15,0,14,18.8,15.4,".219",".344","0.688","53"
"Bell, Josh",605137,2022,552,147,98,29,3,17,15.8,12.5,".266",".362","0.784","71"
"Lowe, Nathaniel",663993,2022,593,179,123,26,3,27,22.8,7.4,".302",".358","0.850","76"
"Estrada, Thairo",642731,2022,488,127,89,22,2,14,16.5,6.1,".260",".322","0.722","62"
"Kiner-Falefa, Isiah",643396,2022,483,126,102,20,0,4,13.6,6.6,".261",".314","0.641","48"
"Judge, Aaron",592450,2022,570,177,87,28,0,62,25.1,15.9,".311",".425","1.111","131"
"Walker, Christian",572233,2022,583,141,78,25,2,36,19.6,10.3,".242",".327","0.804","94"
"Voit III, Luke",572228,2022,500,113,69,22,0,22,31.5,9.7,".226",".308","0.710","69"
"Tellez, Rowdy",642133,2022,529,116,58,23,0,35,20.2,10.4,".219",".306","0.767","89"
"Kim, Ha-Seong",673490,2022,517,130,87,29,3,11,17.2,8.8,".251",".325","0.708","59"
"Soto, Juan",665742,2022,524,127,73,25,2,27,14.5,20.3,".242",".401","0.853","62"
"Verdugo, Alex",657077,2022,593,166,115,39,1,11,13.4,6.5,".280",".328","0.733","74"
"McCutchen, Andrew",457705,2022,515,122,80,25,0,17,21.4,9.8,".237",".316","0.700","69"
"Canha, Mark",592192,2022,462,123,86,24,0,13,17.9,8.9,".266",".367","0.770","61"
"Kemp, Tony",643393,2022,497,117,84,24,2,7,12.4,8.1,".235",".307","0.641","46"
"Andrus, Elvis",462101,2022,535,133,84,32,0,17,15.9,6.8,".249",".303","0.707","58"
"Devers, Rafael",646240,2022,555,164,94,42,1,27,18.6,8.1,".295",".358","0.879","88"
"Witt Jr., Bobby",677951,2022,591,150,93,31,6,20,21.4,4.7,".254",".294","0.722","80"
"Freeman, Freddie",518692,2022,612,199,129,47,2,21,14.4,11.9,".325",".407","0.918","100"
"Marte, Starling",516782,2022,466,136,91,24,5,16,19.2,5.1,".292",".347","0.815","63"
"Arraez, Luis",650333,2022,547,173,133,31,1,8,7.1,8.3,".316",".375","0.795","49"
"Santana, Carlos",467793,2022,431,87,50,18,0,19,17.4,14,".202",".316","0.692","60"
"Drury, Brandon",592273,2022,518,136,75,31,2,28,22.2,6.7,".263",".320","0.812","87"
"Aguilar, Jesús",542583,2022,464,109,74,19,0,16,23.5,5.5,".235",".281","0.660","51"
"Mountcastle, Ryan",663624,2022,555,139,88,28,1,22,25.3,7.1,".250",".305","0.728","85"
"Abreu, José",547989,2022,601,183,128,40,0,15,16.2,9.1,".304",".378","0.824","75"
"Correa, Carlos",621043,2022,522,152,105,24,1,22,20.5,10.3,".291",".366","0.833","64"
"Olson, Matt",621566,2022,616,148,70,44,0,34,24.3,10.7,".240",".325","0.802","103"
"Melendez Jr., MJ",669004,2022,460,100,58,21,3,18,24.5,12.4,".217",".313","0.706","62"
"France, Ty",664034,2022,551,151,103,27,1,20,15.3,5.7,".274",".338","0.774","83"
"Machado, Manny",592518,2022,578,172,102,37,1,32,20.7,9.8,".298",".366","0.897","102"
"Farmer, Kyle",571657,2022,526,134,94,25,1,14,17,5.7,".255",".315","0.701","78"
"Ozuna, Marcell",542303,2022,470,106,64,19,0,23,24.1,6.1,".226",".274","0.687","56"
"Smith, Will",669257,2022,508,132,79,26,3,24,16.6,9.7,".260",".343","0.808","87"
"Benintendi, Andrew",643217,2022,461,140,109,23,3,5,14.8,10,".304",".373","0.772","51"
"Arenado, Nolan",571448,2022,557,163,90,42,1,30,11.6,8.4,".293",".358","0.891","103"
"Ohtani, Shohei",660271,2022,586,160,90,30,6,34,24.2,10.8,".273",".356","0.875","95"
"Hoerner, Nico",663538,2022,481,135,98,22,5,10,11,5.4,".281",".327","0.737","55"
"Murphy, Sean",669221,2022,537,134,77,37,2,18,20.3,9.2,".250",".332","0.758","66"
"Giménez, Andrés",665926,2022,491,146,100,26,3,17,20.1,6.1,".297",".371","0.837","69"
"Nimmo, Brandon",607043,2022,580,159,106,30,7,16,17.2,10.5,".274",".367","0.800","64"
"Bogaerts, Xander",593428,2022,557,171,118,38,0,15,18.7,9,".307",".377","0.833","73"
"McMahon, Ryan",641857,2022,529,130,84,23,3,20,26.5,10.1,".246",".327","0.741","67"
"Urshela, Gio",570482,2022,501,143,100,27,3,13,17.4,7.4,".285",".338","0.767","64"
"Díaz, Yandy",650490,2022,473,140,98,33,0,9,10.8,14,".296",".401","0.824","57"
"Martinez, J.D.",502110,2022,533,146,86,43,1,16,24.3,8.7,".274",".341","0.789","62"
"Renfroe, Hunter",592669,2022,474,121,68,23,1,29,23.2,7.5,".255",".315","0.807","72"
"Springer III, George",543807,2022,513,137,86,22,4,25,17.2,9.3,".267",".342","0.814","76"
"Seager, Corey",608369,2022,593,145,87,24,1,33,15.5,8.7,".245",".317","0.772","83"
"Straw, Myles",664702,2022,535,118,93,22,3,0,14.6,9.1,".221",".291","0.564","32"
"Donaldson, Josh",518626,2022,478,106,63,28,0,15,27.1,9.9,".222",".308","0.682","62"
"Mancini III, Trey",641820,2022,519,124,82,23,1,18,23,9,".239",".319","0.710","63"
"Alvarez, Yordan",670541,2022,470,144,76,29,2,37,18.9,13.9,".306",".406","1.019","97"
"Ward, Taylor",621493,2022,495,139,92,22,2,23,21.3,10.6,".281",".360","0.833","65"
"Marte, Ketel",606466,2022,492,118,62,42,2,12,18.1,9.9,".240",".321","0.728","52"
"Hays, Austin",669720,2022,535,134,81,35,2,16,19.6,5.8,".250",".306","0.719","60"
"Lindor, Francisco",596019,2022,630,170,114,25,5,26,18.8,8.4,".270",".339","0.788","107"
"Happ, Ian",664023,2022,573,155,94,42,2,17,23.2,9,".271",".342","0.782","72"
"Torres, Gleyber",650402,2022,526,135,82,28,1,24,22.6,6.8,".257",".310","0.761","76"
"Crawford, J.P.",641487,2022,518,126,93,24,3,6,13.3,11.3,".243",".339","0.675","42"
"Escobar, Eduardo",500871,2022,495,119,69,26,4,20,23.8,7.4,".240",".295","0.725","69"
"Cronenworth, Jake",630105,2022,587,140,89,30,4,17,19.2,10.2,".239",".332","0.722","88"
"Chapman, Matt",656305,2022,538,123,68,27,1,27,27.4,11,".229",".324","0.757","76"
